"node_id","cluster_id","doi","pmid"
1386330,1,"10.1007/s10616-007-9049-4",19003190
3601067,1,"10.1016/j.tibtech.2008.09.006",19012978
4222150,1,"10.1016/j.ejca.2008.09.037",19022662
5218333,1,"10.1101/cshperspect.a012328",23209154
3517519,1,"10.1093/nar/gkr330",21652644
567289,1,"10.1155/2013/695754",24454381
4583451,1,"10.1002/wrna.1217",24459110
6268995,1,"10.1038/ng1478",15565108
2538466,1,"10.1038/sj.emboj.7600491",15565168
3794266,1,"10.1038/sj.emboj.7600488",15565169
501466,1,"10.1101/gad.1262504",15574589
4384239,1,"10.1101/gr.2845604",15574827
677894,1,"10.1126/science.1136235",17204650
1312044,1,"10.1101/gad.1500707",17210790
302275,1,"10.1038/nrg1990",17230196
2403536,1,"10.1089/nat.2012.0356",22913594
430645,1,"10.1016/j.immuni.2008.04.002",18455451
201935,1,"10.1073/pnas.0801615105",18458333
4789929,1,"10.1371/journal.pone.0002126",18461144
5449235,1,"10.1038/nature07015",18463630
3408442,1,"10.1038/nature07007",18463631
1800045,1,"10.1038/nature06938",18463636
4357682,1,"10.1016/j.cub.2008.04.042",18472421
2850086,1,"10.1177/1535370214533887",24872439
5540750,1,"10.1101/gad.1048103",12514099
2016049,1,"10.1126/science.1079695",12522258
1093545,1,"10.1126/science.1076466",12215653
5144211,1,"10.1016/s0960-9822(02)01017-5",12225663
904432,1,"10.1104/pp.007047",12226481
2065689,1,"10.1016/s0092-8674(02)00908-x",12230974
4635357,1,"10.1182/blood-2006-09-045104",17284533
559773,1,"10.1242/dev.02817",17287247
6457742,1,"10.1073/pnas.0610983104",17293455
5212693,1,"10.1038/sj.onc.1210293",17297439
2289961,1,"10.1371/journal.pbio.0050057",17298187
1950122,1,"10.1371/journal.pone.0000219",17299599
5871579,1,"10.3390/cells8111465",31752361
4056227,1,"10.1517/14712598.7.12.1833",18034649
1911157,1,"10.1016/j.cell.2007.03.030",17397913
6346829,1,"10.1105/tpc.107.050062",17400893
